year,serial,month,cpsid,asecflag,asecwth,pernum,cpsidp,cpsidv,asecwt,age,sex,empstat,occ2010,ind1990,uhrsworkt,educ,incwage,implied_hourly_wage
2025,34,3,20250303652900,1,2089.49,2,20250303652902,202503036529021,2089.49,53,Male,10,9130,550,50,73,82000,31.53846153846154
2025,35,3,20240102766000,1,1491.12,1,20240102766001,202401027660011,1491.12,31,Female,10,2540,842,36,73,32500,17.36111111111111
2025,35,3,20240102766000,1,1491.12,2,20240102766002,202401027660021,1491.12,33,Male,10,1107,160,48,73,50000,20.03205128205128
2025,37,3,20240302058800,1,2020.59,1,20240302058801,202403020588011,2020.59,22,Male,10,3420,831,40,81,37500,18.028846153846153
2025,37,3,20240302058800,1,2020.59,2,20240302058802,202403020588021,2020.59,22,Female,10,3500,831,36,81,50000,26.70940170940171
2025,38,3,20240303554200,1,1096.62,2,20240303554202,202403035542021,1096.62,58,Female,10,4020,900,30,50,9000,5.769230769230769
2025,39,3,20250202847800,1,1010.84,1,20250202847801,202502028478011,1010.84,33,Female,10,350,832,40,111,86000,41.34615384615385
2025,41,3,20240202074000,1,962.75,1,20240202074001,202402020740011,962.75,45,Male,10,9130,10,40,73,52600,25.28846153846154
2025,41,3,20240202074000,1,962.75,4,20240202074002,202402020740021,962.75,38,Female,10,3645,840,40,73,45000,21.634615384615383
2025,42,3,20240104108100,1,1837.05,2,20240104108102,202401041081021,1837.05,65,Male,10,430,230,40,73,25000,12.01923076923077
2025,43,3,20240303218900,1,1720.05,1,20240303218901,202403032189011,1720.05,58,Male,10,4220,842,43,73,41000,18.336314847942756
2025,59,3,20251300005900,1,1229.42,1,20251300005901,202513000059011,1229.42,40,Male,10,5000,932,50,91,130000,50.0
2025,59,3,20251300005900,1,1229.42,2,20251300005902,202513000059021,1229.42,38,Female,10,2300,842,40,111,50000,24.03846153846154
2025,60,3,20251300006000,1,2111.48,1,20251300006001,202513000060011,2111.48,26,Female,10,430,900,40,81,41600,20.0
2025,60,3,20251300006000,1,2111.48,3,20251300006003,202513000060031,2111.48,28,Male,10,8965,311,40,73,47840,23.0
2025,62,3,20250304169400,1,957.46,1,20250304169401,202503041694011,957.46,70,Female,10,4030,641,15,81,23000,29.487179487179485
2025,77,3,20231200360900,1,2086.15,1,20231200360901,202312003609011,2086.15,56,Female,10,2550,842,35,111,25000,13.736263736263735
2025,77,3,20231200360900,1,2086.15,2,20231200360902,202312003609021,2086.15,58,Male,10,10,622,40,111,50000,24.03846153846154
2025,78,3,20240102572300,1,1508.3,1,20240102572301,202401025723011,1508.3,70,Female,10,3850,910,20,111,25000,24.03846153846154
2025,80,3,20240202792500,1,1535.17,1,20240202792501,202402027925011,1535.17,42,Male,10,1550,471,40,111,96000,46.15384615384615
2025,89,3,20250100027300,1,1902.83,1,20250100027301,202501000273011,1902.83,64,Female,10,350,840,40,111,100000,48.07692307692308
2025,92,3,20241206053500,1,1424.57,1,20241206053501,202412060535011,1424.57,34,Male,10,430,60,40,73,104000,50.0
2025,92,3,20241206053500,1,1424.57,2,20241206053502,202412060535021,1424.57,32,Female,10,3420,842,35,73,9620,5.285714285714286
2025,96,3,20250305949700,1,1050.76,2,20250305949702,202503059497021,1050.76,57,Female,10,5860,900,32,73,38000,22.83653846153846
2025,98,3,20250200551900,1,2255.6,1,20250200551901,202502005519011,2255.6,27,Male,10,8140,270,44,91,60000,26.223776223776223
2025,103,3,20250100587700,1,1129.97,1,20250100587701,202501005877011,1129.97,80,Female,12,2600,682,40,125,20000,9.615384615384615
2025,105,3,20241300009700,1,1640.45,1,20241300009701,202413000097011,1640.45,40,Male,10,9620,751,45,111,176000,75.21367521367522
2025,105,3,20241300009700,1,1640.45,2,20241300009702,202413000097021,1640.45,40,Female,10,630,831,40,111,73000,35.09615384615385
2025,107,3,20251300010700,1,540.74,1,20251300010701,202513000107011,540.74,51,Female,10,9120,842,40,81,40000,19.23076923076923
2025,109,3,20240105921300,1,1633.7,1,20240105921301,202401059213011,1633.7,75,Male,10,4610,871,30,81,60000,38.46153846153846
2025,109,3,20240105921300,1,1633.7,2,20240105921302,202401059213022,1633.7,66,Female,10,2145,841,40,125,60000,28.846153846153847
2025,129,3,20251300012900,1,1171.22,1,20251300012901,202513000129011,1171.22,38,Female,10,2145,841,40,123,58211,27.986057692307693
2025,129,3,20251300012900,1,1171.22,2,20251300012902,202513000129021,1171.22,35,Male,10,2330,842,40,123,47889,23.02355769230769
2025,148,3,20240301781700,1,1075.87,1,20240301781701,202403017817011,1075.87,46,Female,10,4810,711,40,92,50000,24.03846153846154
2025,148,3,20240301781700,1,1075.87,2,20240301781702,202403017817021,1075.87,49,Male,10,5000,591,40,92,45000,21.634615384615383
2025,148,3,20240301781700,1,1075.87,3,20240301781703,202403017817031,804.76,17,Male,10,2720,860,8,50,4500,10.817307692307692
2025,151,3,20250103331200,1,972.45,1,20250103331201,202501033312011,972.45,61,Male,10,8030,440,32,91,61000,36.65865384615385
2025,151,3,20250103331200,1,972.45,4,20250103331204,202501033312041,900.13,66,Female,10,4760,623,4,73,3120,15.0
2025,154,3,20250101414800,1,1823.34,2,20250101414802,202501014148021,1823.34,63,Male,10,7315,60,40,91,90000,43.26923076923077
2025,164,3,20250202748300,1,848.08,1,20250202748301,202502027483011,848.08,40,Female,10,3040,822,30,125,115000,73.71794871794872
2025,164,3,20250202748300,1,848.08,2,20250202748302,202502027483021,848.08,42,Male,10,3160,840,40,125,25000,12.01923076923077
2025,169,3,20240206427500,1,1315.6,2,20240206427502,202402064275021,1315.6,71,Female,10,5600,721,40,111,50000,24.03846153846154
2025,171,3,20241202762200,1,2666.89,1,20241202762201,202412027622011,2666.89,19,Female,10,4010,641,35,81,18500,10.164835164835164
2025,171,3,20241202762200,1,2666.89,2,20241202762202,202412027622021,2666.89,21,Male,10,8965,231,40,73,62000,29.807692307692307
2025,177,3,20241202710400,1,1152.45,1,20241202710401,202412027104011,1152.45,57,Female,10,20,601,40,111,55000,26.442307692307693
2025,177,3,20241202710400,1,1152.45,2,20241202710402,202412027104021,1582.7,18,Male,10,4020,641,40,73,15000,7.211538461538462
2025,179,3,20250202405700,1,726.52,1,20250202405701,202502024057011,726.52,48,Female,10,4700,623,30,81,78000,50.0
2025,180,3,20250204194400,1,1183.59,1,20250204194401,202502041944011,1183.59,63,Female,10,120,842,40,92,40000,19.23076923076923
2025,185,3,20251300018500,1,1353.41,1,20251300018501,202513000185011,1353.41,40,Male,10,2100,841,60,125,167000,53.52564102564103
2025,185,3,20251300018500,1,1353.41,2,20251300018502,202513000185021,1353.41,31,Female,10,3255,831,6,111,10000,32.05128205128205
2025,186,3,20251300018600,1,1844.1,2,20251300018602,202513000186021,1844.1,36,Male,10,6320,230,50,50,68700,26.423076923076923
2025,188,3,20240103831700,1,1508.3,1,20240103831701,202401038317011,1508.3,70,Female,10,5860,900,9,73,950,2.02991452991453
2025,188,3,20240103831700,1,1508.3,2,20240103831702,202401038317021,1508.3,66,Male,10,4760,581,40,73,99000,47.59615384615385
2025,239,3,20250200190800,1,848.08,1,20250200190801,202502001908011,848.08,40,Female,10,9130,410,32,73,14000,8.413461538461538
2025,241,3,20250302799200,1,1031.52,1,20250302799201,202503027992011,1031.52,34,Female,10,5110,831,42,111,44833,20.5279304029304
2025,241,3,20250302799200,1,1031.52,2,20250302799202,202503027992021,1031.52,35,Male,10,3420,812,37,73,4506,2.341995841995842
2025,242,3,20240100477600,1,900.22,1,20240100477601,202401004776011,900.22,53,Male,10,3060,831,40,125,213000,102.40384615384616
2025,245,3,20250304184400,1,2089.49,1,20250304184401,202503041844011,2089.49,44,Male,10,5510,410,65,73,98983,29.28491124260355
2025,248,3,20241203994700,1,2275.49,1,20241203994701,202412039947011,2275.49,46,Female,10,3648,12,24,73,33000,26.442307692307693
2025,249,3,20250102376300,1,1542.16,2,20250102376302,202501023763021,1542.16,80,Male,10,4700,620,62,111,20800,6.451612903225806
2025,250,3,20250106417300,1,1570.33,2,20250106417302,202501064173021,1570.33,40,Female,10,530,142,40,73,45000,21.634615384615383
2025,274,3,20240101038800,1,1899.27,1,20240101038801,202401010388011,1899.27,52,Male,10,1320,352,50,123,115000,44.23076923076923
2025,274,3,20240101038800,1,1899.27,2,20240101038802,202401010388021,1899.27,54,Female,10,5630,181,50,123,240000,92.3076923076923
2025,276,3,20240104119300,1,2803.22,2,20240104119302,202401041193021,2803.22,33,Female,10,910,700,40,91,40000,19.23076923076923
2025,288,3,20241203943200,1,1787.25,1,20241203943201,202412039432011,1787.25,70,Female,10,2430,850,40,123,80000,38.46153846153846
2025,293,3,20240305796600,1,1872.16,1,20240305796601,202403057966011,1872.16,37,Male,10,3255,831,36,111,72000,38.46153846153846
2025,293,3,20240305796600,1,1872.16,2,20240305796602,202403057966021,1872.16,32,Female,10,3320,831,40,92,40000,19.23076923076923
2025,295,3,20231200362100,1,1174.73,1,20231200362101,202312003621011,1174.73,48,Female,10,2010,831,48,111,72000,28.846153846153847
2025,297,3,20241200761200,1,1965.58,1,20241200761201,202412007612011,1965.58,61,Female,10,2550,850,40,125,46230,22.22596153846154
2025,301,3,20250100752600,1,1692.2,1,20250100752601,202501007526011,1692.2,66,Female,10,5120,931,40,81,62000,29.807692307692307
2025,301,3,20250100752600,1,1692.2,2,20250100752602,202501007526021,1692.2,61,Male,10,800,932,40,92,62000,29.807692307692307
2025,304,3,20241204660100,1,2467.67,1,20241204660101,202412046601011,2467.67,41,Female,12,5940,901,40,111,75142,36.12596153846154
2025,308,3,20231200359700,1,954.98,1,20231200359701,202312003597011,954.98,53,Male,10,1740,892,40,123,180000,86.53846153846153
2025,308,3,20231200359700,1,954.98,2,20231200359702,202312003597021,954.98,52,Female,10,3258,831,70,123,140002,38.46208791208791
2025,313,3,20240104115300,1,1674.3,1,20240104115301,202401041153011,1674.3,55,Female,10,60,871,40,73,80000,38.46153846153846
2025,314,3,20241300030600,1,969.25,1,20241300030601,202413000306011,969.25,45,Male,10,2200,850,40,125,105000,50.48076923076923
2025,314,3,20241300030600,1,969.25,2,20241300030602,202413000306021,969.25,38,Male,10,2200,850,40,123,20000,9.615384615384615
2025,317,3,20251300031700,1,5986.69,1,20251300031701,202513000317011,5986.69,40,Male,10,6260,60,50,73,65000,25.0
2025,317,3,20251300031700,1,5986.69,2,20251300031702,202513000317021,5986.69,34,Female,10,6050,11,35,73,20000,10.989010989010989
2025,319,3,20251300031900,1,1043.47,3,20251300031903,202513000319031,1288.25,17,Female,10,4720,601,15,50,1500,1.9230769230769231
2025,324,3,20240203100700,1,765.81,1,20240203100701,202402031007011,765.81,46,Male,10,7810,601,40,73,35000,16.826923076923077
2025,324,3,20240203100700,1,765.81,2,20240203100702,202402031007021,765.81,44,Female,10,5400,831,40,73,35000,16.826923076923077
2025,324,3,20240203100700,1,765.81,3,20240203100703,202402031007031,967.75,19,Female,10,4600,862,40,73,24000,11.538461538461538
2025,325,3,20250105440500,1,1459.45,1,20250105440501,202501054405011,1459.45,36,Male,10,3060,812,45,124,75000,32.05128205128205
2025,325,3,20250105440500,1,1459.45,2,20250105440502,202501054405021,1459.45,37,Female,10,3258,812,40,123,55000,26.442307692307693
2025,332,3,20241202855900,1,1977.65,1,20241202855901,202412028559011,1977.65,64,Male,10,7240,810,40,111,80000,38.46153846153846
2025,332,3,20241202855900,1,1977.65,2,20241202855902,202412028559021,1977.65,65,Female,10,2430,852,20,123,9500,9.134615384615385
2025,333,3,20250106621300,1,1617.83,1,20250106621301,202501066213011,1617.83,58,Female,10,5000,630,16,73,35000,42.06730769230769
2025,333,3,20250106621300,1,1617.83,2,20250106621302,202501066213021,1617.83,58,Male,10,6220,60,55,73,92000,32.16783216783217
2025,333,3,20250106621300,1,1617.83,3,20250106621303,202501066213031,3006.87,25,Male,10,9620,630,16,73,14000,16.826923076923077
2025,335,3,20250205635200,1,1177.82,2,20250205635202,202502056352021,1177.82,67,Female,12,930,900,34,91,43000,24.32126696832579
2025,336,3,20250201262200,1,1309.39,1,20250201262201,202502012622011,1309.39,46,Female,10,2105,910,45,124,135000,57.69230769230769
2025,336,3,20250201262200,1,1309.39,2,20250201262202,202502012622021,1309.39,46,Male,10,7150,622,40,73,55000,26.442307692307693
2025,337,3,20250305223600,1,1636.43,1,20250305223601,202503052236011,1636.43,76,Female,10,2300,842,18,111,20000,21.367521367521366
2025,338,3,20241205052300,1,1884.38,2,20241205052302,202412050523021,1884.38,63,Male,10,6230,60,40,73,37000,17.78846153846154
2025,342,3,20241203058800,1,1261.72,1,20241203058801,202412030588011,1261.72,41,Female,10,2000,842,40,123,81000,38.94230769230769
2025,342,3,20241203058800,1,1261.72,2,20241203058802,202412030588021,1261.72,42,Male,10,3160,840,60,125,185000,59.294871794871796
2025,343,3,20241200230900,1,948.32,2,20241200230902,202412002309021,948.32,47,Male,10,630,810,25,123,3000,2.3076923076923075
2025,344,3,20240203130000,1,1158.57,1,20240203130001,202402031300011,1158.57,76,Female,10,5700,741,25,73,46800,36.0
2025,346,3,20250304182600,1,6898.64,1,20250304182601,202503041826011,6898.64,36,Male,10,9200,400,40,73,26000,12.5
2025,349,3,20250201438200,1,1316.14,2,20250201438202,202502014382022,1316.14,58,Female,10,2310,842,50,123,76375,29.375
2025,349,3,20250201438200,1,1316.14,3,20250201438203,202502014382031,1953.6,26,Male,10,7315,60,40,91,81000,38.94230769230769
2025,349,3,20250201438200,1,1316.14,4,20250201438204,202502014382041,2006.86,24,Female,10,2320,842,50,111,32000,12.307692307692308
2025,349,3,20250201438200,1,1316.14,5,20250201438207,202502014382071,2006.86,24,Female,10,2000,840,40,111,39471,18.97644230769231
2025,349,3,20250201438200,1,1316.14,6,20250201438205,202502014382051,2264.43,18,Male,10,2720,810,16,60,2000,2.4038461538461537
2025,350,3,20250202889200,1,1177.82,1,20250202889201,202502028892011,1177.82,68,Female,10,4700,681,40,92,129000,62.01923076923077
2025,350,3,20250202889200,1,1177.82,2,20250202889202,202502028892021,1982.66,39,Male,10,20,641,40,111,1099999,528.845673076923
2025,356,3,20250102290700,1,1835.21,1,20250102290701,202501022907011,1835.21,54,Female,10,3540,831,40,73,90000,43.26923076923077
2025,357,3,20241300033700,1,1036.59,1,20241300033701,202413000337011,1036.59,36,Female,10,1020,891,40,123,100000,48.07692307692308
2025,357,3,20241300033700,1,1036.59,2,20241300033702,202413000337021,1036.59,36,Male,10,3060,840,40,124,125000,60.09615384615385
2025,358,3,20251300035800,1,2188.55,1,20251300035801,202513000358011,2188.55,31,Female,10,2550,842,35,111,121200,66.5934065934066
2025,360,3,20251300036000,1,511.26,2,20251300036002,202513000360021,511.26,56,Male,10,3320,812,45,123,105000,44.87179487179487
2025,360,3,20251300036000,1,511.26,3,20251300036003,202513000360031,770.7,29,Female,10,5000,631,40,111,38720,18.615384615384617
2025,362,3,20240105651000,1,1449.81,1,20240105651001,202401056510011,1449.81,72,Male,10,10,652,42,123,225000,103.02197802197803
2025,364,3,20240104157500,1,827.02,1,20240104157501,202401041575011,827.02,60,Male,10,430,882,55,125,80000,27.972027972027973
2025,364,3,20240104157500,1,827.02,2,20240104157502,202401041575021,906.3,15,Female,10,4720,641,12,30,600,0.9615384615384616
2025,367,3,20240204143600,1,674.2,1,20240204143601,202402041436011,674.2,51,Male,10,740,892,45,123,350000,149.57264957264957
2025,367,3,20240204143600,1,674.2,2,20240204143602,202402041436021,674.2,47,Female,10,430,892,20,92,36000,34.61538461538461
2025,368,3,20240101541200,1,1605.14,1,20240101541201,202401015412011,1605.14,61,Male,10,5550,412,43,81,32000,14.311270125223613
2025,368,3,20240101541200,1,1605.14,2,20240101541202,202401015412021,1605.14,57,Female,10,4720,651,32,111,20800,12.5
2025,371,3,20240205967200,1,847.22,1,20240205967201,202402059672011,847.22,44,Female,10,3600,840,24,92,22320,17.884615384615383
2025,374,3,20250202668600,1,1088.74,1,20250202668601,202502026686011,1088.74,46,Female,10,410,712,6,92,599,1.919871794871795
2025,374,3,20250202668600,1,1088.74,2,20250202668602,202502026686021,1088.74,45,Male,10,230,850,70,125,200000,54.94505494505494
2025,375,3,20250204360100,1,932.73,1,20250204360101,202502043601011,932.73,35,Male,10,3945,932,40,92,65000,31.25
2025,375,3,20250204360100,1,932.73,2,20250204360102,202502043601021,932.73,37,Female,12,4510,772,10,73,15000,28.846153846153847
2025,385,3,20241203716500,1,2762.13,1,20241203716501,202412037165011,2762.13,27,Male,10,3647,812,40,111,49000,23.557692307692307
2025,385,3,20241203716500,1,2762.13,2,20241203716502,202412037165021,3446.16,31,Male,10,3647,812,40,81,49000,23.557692307692307
2025,385,3,20241203716500,1,2762.13,3,20241203716503,202412037165031,3446.16,30,Male,10,3400,900,40,73,64000,30.76923076923077
2025,392,3,20241204160700,1,2021.11,1,20241204160701,202412041607011,2021.11,58,Female,10,4020,881,40,81,47219,22.701442307692307
2025,395,3,20250202446400,1,801.01,1,20250202446401,202502024464011,801.01,39,Female,10,4510,772,42,73,20000,9.157509157509157
2025,401,3,20241204148600,1,2128.33,1,20241204148601,202412041486011,2128.33,59,Male,10,4840,440,40,111,72000,34.61538461538461
2025,402,3,20240203375400,1,662.33,2,20240203375402,202402033754021,899.94,25,Male,10,5240,580,24,81,30000,24.03846153846154
2025,403,3,20240301053200,1,1959.88,1,20240301053201,202403010532011,1959.88,51,Female,10,4720,601,25,60,25000,19.23076923076923
2025,407,3,20250100674800,1,1368.66,1,20250100674801,202501006748011,1368.66,29,Female,10,60,850,40,123,80000,38.46153846153846
2025,407,3,20250100674800,1,1368.66,2,20250100674802,202501006748021,1368.66,47,Male,10,2720,850,40,123,115000,55.28846153846154
2025,410,3,20250202533600,1,2107.17,1,20250202533601,202502025336011,2107.17,33,Male,10,7340,352,48,73,98000,39.26282051282051
2025,412,3,20240104097400,1,1561.91,1,20240104097401,202401040974011,1561.91,57,Female,12,3255,831,27,123,60000,42.73504273504273
2025,412,3,20240104097400,1,1561.91,2,20240104097402,202401040974021,1561.91,58,Male,10,1105,900,50,111,160002,61.53923076923077
2025,412,3,20240104097400,1,1561.91,3,20240104097404,202401040974041,3718.38,22,Male,10,5240,633,30,81,12000,7.6923076923076925
2025,422,3,20251300042200,1,1401.41,2,20251300042202,202513000422021,1401.41,60,Female,10,3600,831,36,81,45000,24.03846153846154
2025,423,3,20251300042300,1,1933.79,1,20251300042301,202513000423011,1933.79,26,Male,10,2540,850,48,111,35000,14.022435897435898
2025,424,3,20251300042400,1,1910.81,1,20251300042401,202513000424011,1910.81,43,Male,10,6230,60,40,73,75000,36.05769230769231
2025,424,3,20251300042400,1,1910.81,2,20251300042402,202513000424021,1910.81,43,Female,10,2000,881,40,123,80100,38.50961538461539
2025,425,3,20251300042500,1,1309.63,1,20251300042501,202513000425011,1309.63,35,Female,10,3255,831,36,111,225000,120.1923076923077
2025,426,3,20251300042600,1,1858.23,1,20251300042601,202513000426011,1858.23,27,Male,10,4050,641,30,73,52000,33.333333333333336
2025,428,3,20241206159000,1,2077.06,2,20241206159002,202412061590021,2077.06,66,Male,10,1050,732,40,73,43000,20.673076923076923
2025,431,3,20250300451200,1,1001.73,1,20250300451201,202503004512011,1001.73,28,Female,10,5700,722,2,73,860,8.26923076923077
2025,432,3,20250304850600,1,2086.25,1,20250304850601,202503048506011,2086.25,51,Male,10,430,891,40,111,190000,91.34615384615384
2025,432,3,20250304850600,1,2086.25,2,20250304850602,202503048506021,2086.25,52,Female,10,2330,842,38,92,30000,15.182186234817813
2025,437,3,20240101010600,1,1513.66,1,20240101010601,202401010106011,1513.66,37,Male,10,4700,580,45,81,35000,14.957264957264957
2025,445,3,20241206712900,1,1166.53,1,20241206712901,202412067129011,1166.53,39,Male,10,4430,810,40,111,120000,57.69230769230769
2025,446,3,20250204058500,1,971.64,1,20250204058501,202502040585011,971.64,31,Female,10,2320,842,40,111,76000,36.53846153846154
2025,446,3,20250204058500,1,971.64,2,20250204058502,202502040585021,971.64,33,Male,10,1460,360,40,111,80000,38.46153846153846
2025,449,3,20250204372500,1,1486.29,1,20250204372501,202502043725011,1486.29,64,Male,10,430,211,40,111,116000,55.76923076923077
2025,449,3,20250204372500,1,1486.29,2,20250204372502,202502043725021,1486.29,52,Female,10,120,211,40,111,100000,48.07692307692308
2025,449,3,20250204372500,1,1486.29,3,20250204372503,202502043725031,1953.6,27,Male,10,4760,580,40,73,51200,24.615384615384617
2025,450,3,20241202010800,1,1693.5,2,20241202010802,202412020108021,1792.52,63,Female,10,5700,611,40,111,37440,18.0
2025,457,3,20250100280500,1,1257.86,1,20250100280501,202501002805011,1257.86,41,Female,10,5000,741,30,81,16400,10.512820512820513
2025,458,3,20241201396200,1,2302.01,1,20241201396201,202412013962011,2302.01,43,Female,10,10,881,45,111,78000,33.333333333333336
2025,460,3,20250100364300,1,1005.87,2,20250100364302,202501003643021,1005.87,53,Female,10,10,700,40,111,24000,11.538461538461538
2025,461,3,20240304657200,1,1554.67,1,20240304657201,202403046572011,1554.67,32,Male,10,300,340,50,111,90000,34.61538461538461
2025,463,3,20251300046300,1,1268.1,2,20251300046302,202513000463021,1268.1,28,Male,10,6320,60,60,73,98000,31.41025641025641
2025,464,3,20251300046400,1,583.02,1,20251300046401,202513000464011,583.02,44,Female,10,4000,832,32,92,23000,13.822115384615385
2025,468,3,20231200363800,1,1909.28,2,20231200363802,202312003638021,1909.28,59,Male,10,7560,360,40,73,58000,27.884615384615383
2025,481,3,20240305165500,1,3775.17,1,20240305165501,202403051655011,3775.17,42,Male,10,4610,832,40,73,45000,21.634615384615383
2025,482,3,20250102789200,1,1005.87,1,20250102789201,202501027892011,1005.87,52,Female,10,630,922,40,123,88000,42.30769230769231
2025,482,3,20250102789200,1,1005.87,2,20250102789202,202501027892021,1005.87,54,Male,10,4930,882,40,111,109000,52.40384615384615
2025,482,3,20250102789200,1,1005.87,4,20250102789203,202501027892032,1727.64,17,Male,10,4750,622,15,60,14900,19.102564102564102
2025,484,3,20241206872800,1,2077.06,1,20241206872801,202412068728011,2077.06,55,Female,10,860,711,40,92,53756,25.84423076923077
2025,488,3,20231200363900,1,1321.99,4,20231200363904,202312003639041,1321.99,32,Male,10,6200,60,40,60,74000,35.57692307692308
2025,492,3,20241204155400,1,2567.48,1,20241204155401,202412041554011,2567.48,32,Male,10,7720,342,40,81,21440,10.307692307692308
2025,492,3,20241204155400,1,2567.48,2,20241204155402,202412041554021,2567.48,31,Female,10,7720,342,40,73,39000,18.75
2025,495,3,20241300048800,1,944.26,1,20241300048801,202413000488011,944.26,26,Male,10,1030,732,40,111,35000,16.826923076923077
2025,495,3,20241300048800,1,944.26,2,20241300048802,202413000488021,913.44,26,Male,10,9130,60,40,73,48000,23.076923076923077
2025,497,3,20251300049700,1,806.44,1,20251300049701,202513000497011,806.44,58,Female,10,2016,871,48,81,78300,31.370192307692307
2025,497,3,20251300049700,1,806.44,2,20251300049702,202513000497021,806.44,56,Female,10,137,871,48,81,75300,30.16826923076923
2025,497,3,20251300049700,1,806.44,3,20251300049703,202513000497031,1386.08,54,Male,10,4140,641,10,73,3500,6.730769230769231
2025,498,3,20251300049800,1,1304.07,2,20251300049802,202513000498021,1304.07,61,Female,10,5620,682,20,73,12000,11.538461538461538
2025,498,3,20251300049800,1,1304.07,3,20251300049803,202513000498031,1211.78,30,Female,10,2630,741,35,73,30000,16.483516483516482
2025,498,3,20251300049800,1,1304.07,4,20251300049804,202513000498041,1211.78,29,Male,10,2630,741,35,73,30000,16.483516483516482
2025,501,3,20240200119100,1,1434.91,1,20240200119101,202402001191011,1434.91,54,Female,10,3220,831,24,111,40000,32.05128205128205
2025,501,3,20240200119100,1,1434.91,2,20240200119102,202402001191021,1434.91,64,Male,10,565,931,16,111,97000,116.58653846153847
2025,502,3,20240106669900,1,773.23,3,20240106669903,202401066699031,1409.0,37,Female,10,4610,840,40,81,20000,9.615384615384615
2025,503,3,20240105977000,1,1605.14,2,20240105977002,202401059770021,1605.14,58,Female,10,5700,871,40,111,54000,25.96153846153846
2025,503,3,20240105977000,1,1605.14,3,20240105977003,202401059770031,2888.36,38,Male,10,7340,891,40,111,60000,28.846153846153847
2025,504,3,20240100251000,1,1550.66,1,20240100251001,202401002510011,1550.66,61,Male,10,4710,532,45,123,30000,12.820512820512821
2025,505,3,20241204162600,1,2420.7,1,20241204162601,202412041626011,2420.7,35,Female,10,7750,372,40,73,49000,23.557692307692307
2025,505,3,20241204162600,1,2420.7,2,20241204162602,202412041626021,2420.7,37,Male,10,8965,360,40,92,62000,29.807692307692307
2025,506,3,20250306687100,1,2086.25,2,20250306687102,202503066871021,2086.25,55,Male,10,7750,360,40,91,60000,28.846153846153847
2025,506,3,20250306687100,1,2086.25,3,20250306687103,202503066871031,1497.85,19,Male,10,7315,60,30,91,11000,7.051282051282051
2025,507,3,20251300050700,1,1634.34,1,20251300050701,202513000507011,1634.34,37,Male,10,1050,900,40,73,52267,25.128365384615385
2025,507,3,20251300050700,1,1634.34,2,20251300050702,202513000507021,1634.34,36,Female,10,2010,831,40,111,54500,26.201923076923077
2025,513,3,20250203703900,1,1797.28,1,20250203703901,202502037039011,1797.28,35,Female,10,310,641,45,73,50000,21.367521367521366
2025,513,3,20250203703900,1,1797.28,4,20250203703902,202502037039021,2666.47,31,Male,10,3940,60,45,73,49500,21.153846153846153
2025,514,3,20250304197700,1,1909.31,1,20250304197701,202503041977011,1909.31,62,Male,10,2100,841,50,125,1099999,423.07653846153846
2025,514,3,20250304197700,1,1909.31,3,20250304197703,202503041977031,2005.31,64,Female,10,4760,580,40,73,30000,14.423076923076923
2025,515,3,20240305318600,1,1828.31,1,20240305318601,202403053186011,1828.31,56,Male,10,2320,842,33,91,112200,65.38461538461539
2025,515,3,20240305318600,1,1828.31,2,20240305318602,202403053186021,1828.31,56,Female,10,2320,842,33,111,80000,46.62004662004662
